von,nach,linie
Hauptbahnhof,Bundestag,U5
Bundestag,Brandenburger Tor,U5
Brandenburger Tor,Unter den Linden,U5
Unter den Linden,Museumsinsel,U5
Museumsinsel,Rotes Rathaus,U5
Rotes Rathaus,Alexanderplatz,U5
Alexanderplatz,Schillingstraße,U5
Schillingstraße,Strausberger Platz,U5
Strausberger Platz,Weberwiese,U5
Weberwiese,Frankfurter Tor,U5
Frankfurter Tor,Samariterstraße,U5
Samariterstraße,Frankfurter Allee,U5
Frankfurter Allee,Magdalenenstraße,U5
Magdalenenstraße,Lichtenberg,U5
Lichtenberg,Friedrichsfelde,U5
Friedrichsfelde,Tierpark,U5
Tierpark,Biesdorf-Süd,U5
Biesdorf-Süd,Elsterwerdaer Platz,U5
Elsterwerdaer Platz,Wuhletal,U5
Wuhletal,Kaulsdorf-Nord,U5
Kaulsdorf-Nord,Kienberg,U5
Kienberg,Cottbusser Platz,U5
Cottbusser Platz,Hellersdorf,U5
Hellersdorf,Louis-Lewin-Straße,U5
Louis-Lewin-Straße,Hönow,U5
Nollendorfplatz,Viktoria-Luise-Platz,U4
Viktoria-Luise-Platz,Bayerischer Platz,U4
Bayerischer Platz,Rathaus Schöneberg,U4
Rathaus Schöneberg,Innsbrucker Platz,U4
