station,latitude,longitude
Neu-Westend,52.51610074600487,13.260509549350072
Senefelderplatz,52.53258756448684,13.412608258682697
Heidelberger Platz,52.48020579529448,13.311836718441747
Schwartzkopffstraße,52.535431900595015,13.37700413513905
Westhafen,52.536235156353435,13.344019726827822
Richard-Wagner-Platz,52.517274743326084,13.306701585353924
Kaiserin-Augusta-Straße,52.46004452311096,13.38479199884071
Spichernstraße,52.49660007626762,13.331032892128215
Kaulsdorf-Nord,52.52091181561259,13.588987754764984
Rathaus Schöneberg,52.483599526517494,13.34182275140966
Rathaus Reinickendorf,52.588856037762156,13.324792607883653
Hönow,52.538351207679895,13.633457631039322
Tierpark,52.49691827668873,13.523491679210476
Samariterstraße,52.51477822455515,13.462973484817706
Kurfürstenstraße,52.49979478408173,13.362519171861853
Südstern,52.48928694860196,13.407719684315568
Mendelssohn-Bartholdy-Park,52.50343650413241,13.374794090352628
Frankfurter Tor,52.5157810654767,13.453953227328174
Zwickauer Damm,52.42324476251984,13.483704445073911
Paulsternstraße,52.538137177911096,13.247748921127515
Jungfernheide,52.53069272813111,13.300497596991002
Wilmersdorfer Straße,52.50641997205761,13.306756679172855
Hausvogteiplatz,52.51335621472986,13.395585617331898
Theodor-Heuss-Platz,52.5099254127371,13.27265340213705
Biesdorf-Süd,52.49961715318602,13.546624631297902
Westphalweg,52.445927167473606,13.385833224178196
Paracelsus-Bad,52.57440588185227,13.347774711149729
Vinetastraße,52.55931975055039,13.413419150365712
Bundesplatz,52.47760796430273,13.328595999349746
Innsbrucker Platz,52.47806826471302,13.342072225823635
Olympia-Stadion,52.51731507206046,13.249886593280559
Frankfurter Allee,52.51501509765361,13.47441729513514
Sophie-Charlotte-Platz,52.51108508663188,13.296854370007951
Kurt-Schumacher-Platz,52.5632454501711,13.326910164447378
Alexanderplatz,52.521477331521915,13.411216352808363
Afrikanische Straße,52.56042831585066,13.334177279792774
Seestraße,52.5498043047918,13.35299635281036
Französische Straße,52.51482691386464,13.389576352807913
Nauener Platz,52.551448211914824,13.367241979792173
Bayerischer Platz,52.4883444738734,13.3402423411699
Scharnweberstraße,52.56678486520771,13.312601681647974
Strausberger Platz,52.517964957164295,13.432191952808171
Oranienburger Tor,52.525495962017686,13.387280079790285
Haselhorst,52.53857998900794,13.232045881645991
Rudow,52.41624425951021,13.495212466291813
Pankstraße,52.552412419492526,13.38164365095583
Osloer Straße,52.55706810851696,13.373108891428613
Parchimer Allee,52.444723014008304,13.449742196984952
Augsburger Straße,52.4996286093445,13.33574997978849
Krumme Lanke,52.44291101182078,13.240598723966427
Anton-Wilhelm-Amo-Straße,52.51153303123684,13.3836390644438
Warschauer Straße,52.50624207293662,13.449674627169582
Tempelhof,52.470958658376205,13.384386768150323
Friedrichsfelde,52.51384220604961,13.52017728535364
Yorckstraße,52.49202487459985,13.377886825824634
Prinzenstraße,52.49837144588978,13.405750008624805
Breitenbachplatz,52.46701181866389,13.308916754659224
Otisstraße,52.57102826836368,13.302867481648214
Weberwiese,52.51659651439105,13.443116808626089
Gneisenaustraße,52.49127047870902,13.395828868151822
Ruhleben,52.52561533459769,13.241177081645063
Grenzallee,52.46347343532044,13.444192183495417
Deutsche Oper,52.51186211099149,13.309688454662453
Klosterstraße,52.51721038583161,13.412449268153662
Halemweg,52.53660141690691,13.286592139318602
Rosenthaler Platz,52.52974733766904,13.401368539318161
Wedding,52.54257057217311,13.366535810482608
Voltastraße,52.54189734670149,13.39313843931896
